Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function showRules() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru KLAJDJKLASKJLDJKLASDKL registration}, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function greetingsToAdmin() | Data of Message: AdminId: 1999, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function setKb() | Data of Message: fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}, crd ([]int): [1], names ([]string): [Зарегистрироваться], data ([]string): [GoReg]
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 1 ru GoReg registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru GoReg registration}, res (*types.Response): &{  0  0 }
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function dir() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru GoReg registration}, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function showRules() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 1 ru GoReg registration}, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function makeRules() | Data of Message: AdminId: 1999, res (*types.Response): &{  1999 registration 1 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function setKb() | Data of Message: fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}, crd ([]int): [1], names ([]string): [Начнем же!], data ([]string): [Start]
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 2 ru ((((((((Start)))))))) registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 2 ru ((((((((Start)))))))) registration}, res (*types.Response): &{  0  0 }
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function dir() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 2 ru ((((((((Start)))))))) registration}, res (*types.Response): &{  1999 registration 2 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function welcomeToMainMenu() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 2 ru ((((((((Start)))))))) registration}, res (*types.Response): &{  1999 registration 2 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function makeRules() | Data of Message: AdminId: 1999, res (*types.Response): &{  1999 registration 2 }, fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function setKb() | Data of Message: fm (*formatter.Formatter): &{{0      0 []} {[] 0 0} {0 0} <nil>  [] []}, crd ([]int): [1], names ([]string): [Начнем же!], data ([]string): [Start]
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function Receiving() | Data of Message: AdminId: 1999, req (*apptype.Request): &{1999 2 ru ||||||||||||||||||||||||||DDMJDJNMSMD registration}
Time: 0001-01-01 00:00:00 +0000 UTC | Id: 0 | Message: Start function WelcomeAct() | Data of Message: AdminId: 1999, req (*types.Request): &{1999 2 ru ||||||||||||||||||||||||||DDMJDJNMSMD registration}, res (*types.Response): &{  0  0 }
